function,version,bleu4,exact_match,codebert_sim
availableForRelease()_v0.8.4___79,0.8.4,0.3928,0,0.9555
setMinDeposit(uint256)_v2_v0.8.0___80,0.8.0,0.1117,0,0.9878
getAttributeMouthAccessoryFrom(uint256)_v0.8.0___81,0.8.0,0.0665,0,0.989
mint(uint256)_v13_v0.8.4___82,0.8.4,0.2382,0,0.9971
"initialize(uint256,uint256)_v0.8.4___83",0.8.4,0.0,0,0.9808
"increaseAllowance(address,uint256)_v144_v0.8.19___84",0.8.19,0.0,0,0.9818
"initialize(uint256,uint256,uint256)_v2_v0.8.0___85",0.8.0,0.0,0,0.9596
"withdrawAsset(address,address,uint256)_v3_v0.8.0___86",0.8.0,0.0,0,0.9834
manualSend()_v12_v0.8.7___87,0.8.7,0.4103,0,0.9933
setMarketingWallet(address)_v9_v0.8.9___88,0.8.9,0.0,0,0.9889
setTeamFee(uint256)_v55_v0.8.10___89,0.8.10,0.0,0,0.9892
openTrading()_v606_v0.8.0___90,0.8.0,0.8492,0,0.9976
getMyEggs()_v2_v0.8.9___91,0.8.9,0.0,0,0.9228
"setParameters(uint256,uint256)_v4_v0.8.16___92",0.8.16,0.1296,0,0.9948
buyBackTokens(uint256)_v0.8.7___93,0.8.7,0.0,0,0.9837
"claim(address,uint256)_v0.8.17___94",0.8.17,0.0,0,0.9841
removeLimits()_v30_v0.8.12___95,0.8.12,0.1361,0,0.9887
setSwapAmount(uint256)_v11_v0.8.4___96,0.8.4,0.0,0,0.9932
changeOwner(address)_v0.8.1___97,0.8.1,0.289,0,0.9814
_setMaxTxAmount(uint256)_v0.8.10___98,0.8.10,0.7195,0,0.9992
pauseUser(address)_v0.8.0___99,0.8.0,0.0,0,0.9905
getCirculatingSupply()_v21_v0.8.16___100,0.8.16,0.4172,0,0.9872
openTrading()_v170_v0.8.0___101,0.8.0,0.8492,0,0.9985
unstake(uint256)_v0.8.4___102,0.8.4,0.0,0,0.9745
addtoModList(address)_v0.8.6___103,0.8.6,0.0,0,0.9751
unpause()_v2_v0.8.7___104,0.8.7,0.0,0,0.9709
revertFee(address)_v0.8.2___105,0.8.2,0.658,0,0.9985
"updateSellFees(uint256,uint256,uint256)_v81_v0.8.9___106",0.8.9,0.6392,0,0.9882
"depositLimit(address,address)_v0.8.0___107",0.8.0,0.0,0,0.9813
getPrice()_v0.8.6___108,0.8.6,0.0363,0,0.9592
setTaxFeePercent(uint256)_v0.8.0___109,0.8.0,0.3585,0,0.9922
tribeBalance()_v0.8.4___110,0.8.4,0.0,0,0.9535
"mint(address,uint256)_v58_v0.8.0___111",0.8.0,0.0,0,0.9891
changeWalletLimit(uint256)_v14_v0.8.13___112,0.8.13,0.2434,0,0.9922
releaseTime()_v0.8.0___113,0.8.0,1.0,1,1.0
"stake(uint8,uint8)_v0.8.6___114",0.8.6,0.0,0,0.9778
getPendingDivs(address)_v0.8.0___115,0.8.0,0.0,0,0.9226
removeBuyLimit()_v2_v0.8.12___116,0.8.12,0.0,0,0.969
removeAllFee()_v0.8.17___117,0.8.17,0.072,0,0.9554
setRegistry(address)_v0.8.15___118,0.8.15,0.1842,0,0.9895
getTotalVotes()_v0.8.0___119,0.8.0,0.0,0,0.9622
"setAutomatedMarketMakerPair(address,bool)_v10_v0.8.7___120",0.8.7,0.6091,0,0.986
withdraw(uint256)_v11_v0.8.6___121,0.8.6,0.0,0,0.9843
claim(uint256[])_v6_v0.8.0___122,0.8.0,0.0562,0,0.9734
"add(uint256,uint256)_v0.8.17___123",0.8.17,0.1956,0,0.996
changeCreationFee(uint256)_v0.8.14___124,0.8.14,0.0,0,0.9913
transferOwnership(address)_v1025_v0.8.0___125,0.8.0,0.4312,0,0.988
"makeBid(uint8,uint8,uint8,uint8,uint8,uint8,uint8,uint8)_v0.8.0___126",0.8.0,0.0,0,0.9839
remainingTokensByCurrentPrice()_v0.8.0___127,0.8.0,0.0823,0,0.9726
changeToken(address)_v2_v0.8.10___128,0.8.10,0.658,0,0.998
withdraw()_v4_v0.8.7___129,0.8.7,0.315,0,0.993
openTrading()_v127_v0.8.10___130,0.8.10,0.1727,0,0.9933
"setMaxRate(address,uint88)_v0.8.4___131",0.8.4,0.0,0,0.9951
transferOwnership(address)_v615_v0.8.4___132,0.8.4,0.0,0,0.9642
owner(string)_v0.8.14___133,0.8.14,0.0,0,0.9718
"safeTransferFrom(address,address,uint256)_v21_v0.8.0___134",0.8.0,0.4141,0,0.948
pause()_v17_v0.8.0___135,0.8.0,0.0,0,0.9978
setWLBalancer(address)_v0.8.7___136,0.8.7,0.4875,0,0.9935
openTrading()_v577_v0.8.0___137,0.8.0,0.8492,0,0.9984
transferOwnership(address)_v1465_v0.8.4___138,0.8.4,0.0,0,0.9889
updateURI(string)_v0.8.4___139,0.8.4,0.0,0,0.9958
"updateBuyFees(uint256,uint256,uint256,uint256)_v3_v0.8.10___140",0.8.10,0.4077,0,0.9968
setFeeRate(uint256)_v79_v0.8.4___141,0.8.4,0.0,0,0.9929
upgradeGenArtTokenContract(address)_v0.8.0___142,0.8.0,0.0,0,0.9177
"decreaseAllowance(address,uint256)_v98_v0.8.0___143",0.8.0,0.5658,0,0.9807
claim()_v25_v0.8.0___144,0.8.0,0.0,0,0.9954
setOperationParameters(uint256)_v0.8.6___145,0.8.6,0.0,0,0.9944
"execute(address,uint256,bytes,bytes32,bytes32)_v2_v0.8.0___146",0.8.0,0.182,0,0.9522
"depositTokenForUser(address,uint128,address)_v0.8.7___147",0.8.7,0.2907,0,0.9575
withdrawCollateral(uint256)_v0.8.0___148,0.8.0,0.0,0,0.9867
isblacklist(address)_v0.8.17___149,0.8.17,0.5348,0,0.995
"mint(address,uint256)_v206_v0.8.0___150",0.8.0,0.0,0,0.9982
manualSend()_v25_v0.8.4___151,0.8.4,0.7612,0,0.9811
addLP()_v4_v0.8.15___152,0.8.15,0.0009,0,0.9189
"withdraw(address,uint256)_v0.8.17___153",0.8.17,0.0,0,0.9938
"cancelOrder(uint256,address)_v0.8.0___154",0.8.0,0.0,0,0.975
updateGasForProcessing(uint256)_v17_v0.8.13___155,0.8.13,0.1958,0,0.9764
clearStuckToken(address)_v19_v0.8.10___156,0.8.10,0.0,0,0.9911
withdraw(uint256)_v9_v0.8.11___157,0.8.11,0.0,0,0.9655
"getExpectedEth(address,uint256)_v3_v0.8.4___158",0.8.4,0.2074,0,0.9829
"updateBuyFees(uint256,uint256,uint256)_v813_v0.8.10___159",0.8.10,0.8624,0,0.978
mint()_v31_v0.8.4___160,0.8.4,0.0348,0,0.9673
isVerified(address)_v0.8.11___161,0.8.11,0.4172,0,0.9939
changeMaxBuy(uint256)_v0.8.9___162,0.8.9,0.0,0,0.9819
claimTokens()_v0.8.9___163,0.8.9,0.0,0,0.9915
"updateBuyFees(uint256,uint256,uint256,uint256)_v3_v0.8.11___164",0.8.11,0.5495,0,0.9994
"getOwners(address,uint256,uint256)_v0.8.15___165",0.8.15,0.0373,0,0.9598
"multisendToken(address,address[],uint256[])_v0.8.0___166",0.8.0,0.0,0,0.9684
setMinQuorum(uint256)_v0.8.16___167,0.8.16,0.0,0,0.9937
token()_v2_v0.8.0___168,0.8.0,0.0,0,0.9572
"stake_tokens(uint256,bytes32)_v2_v0.8.1___169",0.8.1,0.0166,0,0.9523
DOMAIN_SEPARATOR()_v11_v0.8.4___170,0.8.4,0.0,0,0.949
getPendingDivs(address)_v0.8.3___171,0.8.3,0.0,0,0.8969
validPool(address)_v0.8.0___172,0.8.0,0.2592,0,0.9829
stake(uint256)_v0.8.0___173,0.8.0,0.0838,0,0.9552
deposit()_v10_v0.8.7___174,0.8.7,0.3318,0,0.9583
"setFeeExempt(address,bool)_v0.8.10___175",0.8.10,1.0,1,1.0
setBuybackTriggerTokenLimit(uint256)_v0.8.13___176,0.8.13,0.0,0,0.9841
"decreaseAllowance(address,uint256)_v2694_v0.8.0___177",0.8.0,0.164,0,0.9756
"decrease(uint256,uint256)_v0.8.4___178",0.8.4,0.0,0,0.9775
"setFee(uint256,uint256,uint256,uint256)_v2_v0.8.0___179",0.8.0,0.3036,0,0.9923
upgradeTo(address)_v0.8.14___180,0.8.14,0.4317,0,0.9998
send(address)_v0.8.17___181,0.8.17,0.0,0,0.9892
"safeBatchTransferFrom(address,address,uint256[],uint256[],bytes)_v0.8.7___182",0.8.7,0.0,0,0.942
uniqueAddresses(address[])_v0.8.2___183,0.8.2,0.0,0,0.9107
removeManager(address)_v0.8.6___184,0.8.6,0.0,0,0.9893
uri(uint256)_v0.8.18___185,0.8.18,0.0,0,0.8941
setFoo(uint256)_v0.8.7___186,0.8.7,0.1647,0,0.9919
renounceOwnership()_v20_v0.8.0___187,0.8.0,0.0,0,0.9991
payUSDC(uint256)_v0.8.4___188,0.8.4,0.1157,0,0.9732
setAmount(uint256)_v2_v0.8.6___189,0.8.6,0.0,0,0.9968
setGovernance(address)_v2_v0.8.0___190,0.8.0,0.0,0,0.9834
blackListAddress(address)_v0.8.7___191,0.8.7,0.2435,0,0.983
not(bool)_v0.8.4___192,0.8.4,0.3554,0,0.9841
publicMint(uint256)_v0.8.4___193,0.8.4,0.1674,0,0.9801
lengthOf(address)_v0.8.0___194,0.8.0,0.0,0,0.9943
setExcludedAll(address)_v0.8.7___195,0.8.7,0.0,0,0.9084
getMultiplier(address)_v0.8.7___196,0.8.7,0.0,0,0.9646
setBaseURI(string)_v42_v0.8.4___197,0.8.4,0.0,0,0.9902
ownerDeposit()_v0.8.7___198,0.8.7,0.1181,0,0.9698
baseTokenURI()_v0.8.13___199,0.8.13,0.4833,0,0.995
"setFee(uint256,uint256,uint256)_v0.8.0___200",0.8.0,0.0,0,0.9806
setSwapEnabled(bool)_v15_v0.8.4___201,0.8.4,0.3866,0,0.9982
"quote(address,uint256,address,uint256)_v0.8.2___202",0.8.2,0.0,0,0.9293
hash()_v0.8.7___203,0.8.7,0.0,0,0.9384
USDlimit()_v0.8.4___204,0.8.4,0.4671,0,0.9954
rescueBNB()_v0.8.0___205,0.8.0,0.0,0,0.9966
modredisT(uint256)_v0.8.4___206,0.8.4,0.0,0,0.9952
"updateSellFees(uint256,uint256,uint256)_v427_v0.8.10___207",0.8.10,0.759,0,0.9986
openTrading()_v629_v0.8.0___208,0.8.0,0.8492,0,0.9992
removeAddress(bytes32)_v0.8.13___209,0.8.13,0.0,0,0.9914
getAddress(bytes32)_v2_v0.8.9___210,0.8.9,0.0,0,0.9728
"tradingStatus(bool,uint256)_v0.8.7___211",0.8.7,0.2378,0,0.9886
addSniperInList(address)_v0.8.10___212,0.8.10,0.0,0,0.991
removePair(address)_v0.8.14___213,0.8.14,0.0,0,0.991
setReleaseTime(uint256)_v0.8.0___214,0.8.0,0.0,0,0.9805
claim(uint256)_v7_v0.8.17___215,0.8.17,0.059,0,0.9827
reserve()_v0.8.0___216,0.8.0,0.0,0,0.9836
manualsend()_v41_v0.8.10___217,0.8.10,0.4844,0,0.9973
setMarketingFeePercent(uint256)_v0.8.18___218,0.8.18,0.0,0,0.9949
claimDividend()_v0.8.10___219,0.8.10,0.0,0,0.9742
"setOperator(address,bool)_v2_v0.8.0___220",0.8.0,0.0,0,0.9981
"setPerBlockAllowance(address,address,uint256)_v0.8.13___221",0.8.13,0.0,0,0.96
"setFee(uint256,uint256,uint256,uint256)_v215_v0.8.7___222",0.8.7,0.0,0,0.9617
"setMultipliers(uint256,uint256,uint256)_v2_v0.8.12___223",0.8.12,0.0,0,0.9988
"updateBuyFees(uint256,uint256,uint256,uint256)_v6_v0.8.9___224",0.8.9,0.369,0,0.9882
getPreviousWinners()_v0.8.6___225,0.8.6,0.0,0,0.9637
withdrawETH()_v12_v0.8.0___226,0.8.0,0.0,0,0.982
token()_v10_v0.8.0___227,0.8.0,0.0,0,0.9581
manualSend()_v15_v0.8.12___228,0.8.12,0.3682,0,0.9939
disableBlacklist(address)_v2_v0.8.9___229,0.8.9,0.0,0,0.9929
Admin()_v0.8.0___230,0.8.0,0.7825,0,0.9995
