START
Wed Jun 24 16:19:20 +04 2026
cn270
resume: 0 stems already harvested
remaining: 109679
  [41400/109679] 5.2/s ETA 3.7h
  [41700/109679] 5.2/s ETA 3.7h
  [42000/109679] 5.1/s ETA 3.7h
  [42300/109679] 5.1/s ETA 3.7h
  [42600/109679] 5.1/s ETA 3.6h
  [42900/109679] 5.1/s ETA 3.6h
  [43200/109679] 5.1/s ETA 3.6h
  [43500/109679] 5.1/s ETA 3.6h
  [43800/109679] 5.1/s ETA 3.6h
  [44100/109679] 5.1/s ETA 3.6h
  [44400/109679] 5.1/s ETA 3.6h
  [44700/109679] 5.1/s ETA 3.6h
  [45000/109679] 5.1/s ETA 3.6h
  [45300/109679] 5.1/s ETA 3.5h
  [45600/109679] 5.0/s ETA 3.5h
  [45900/109679] 5.0/s ETA 3.5h
  [46200/109679] 5.0/s ETA 3.5h
  [46500/109679] 5.0/s ETA 3.5h
  [46800/109679] 5.0/s ETA 3.5h
  [47100/109679] 5.0/s ETA 3.5h
  [47400/109679] 5.0/s ETA 3.4h
  [47700/109679] 5.0/s ETA 3.4h
  [48000/109679] 5.0/s ETA 3.4h
  [48300/109679] 5.0/s ETA 3.4h
  [48600/109679] 5.0/s ETA 3.4h
  [48900/109679] 5.0/s ETA 3.4h
  [49200/109679] 5.0/s ETA 3.3h
  [49500/109679] 5.0/s ETA 3.3h
  [49800/109679] 5.0/s ETA 3.3h
  [50100/109679] 5.0/s ETA 3.3h
  [50400/109679] 5.0/s ETA 3.3h
  [50700/109679] 5.0/s ETA 3.3h
  [51000/109679] 5.0/s ETA 3.2h
  [51300/109679] 5.0/s ETA 3.2h
  [51600/109679] 5.0/s ETA 3.2h
  [51900/109679] 5.0/s ETA 3.2h
  [52200/109679] 5.0/s ETA 3.2h
  [52500/109679] 5.0/s ETA 3.2h
  [52800/109679] 5.0/s ETA 3.1h
  [53100/109679] 5.0/s ETA 3.1h
  [53400/109679] 5.0/s ETA 3.1h
  [53700/109679] 5.0/s ETA 3.1h
  [54000/109679] 5.0/s ETA 3.1h
  [54300/109679] 5.0/s ETA 3.1h
  [54600/109679] 4.9/s ETA 3.1h
  [54900/109679] 4.9/s ETA 3.1h
  [55200/109679] 4.9/s ETA 3.1h
