function,version,bleu4,exact_match,normalized_match
"initialize(uint256,uint256,uint256)_v2_v0.8.0___85",0.8.0,0.0,0,0
"withdrawAsset(address,address,uint256)_v3_v0.8.0___86",0.8.0,0.0,0,0
manualSend()_v12_v0.8.7___87,0.8.7,0.4103,0,0
setMarketingWallet(address)_v9_v0.8.9___88,0.8.9,0.0,0,0
setTeamFee(uint256)_v55_v0.8.10___89,0.8.10,0.0,0,0
openTrading()_v606_v0.8.0___90,0.8.0,0.8492,0,1
getMyEggs()_v2_v0.8.9___91,0.8.9,0.0,0,0
"setParameters(uint256,uint256)_v4_v0.8.16___92",0.8.16,0.1296,0,0
buyBackTokens(uint256)_v0.8.7___93,0.8.7,0.0,0,0
"claim(address,uint256)_v0.8.17___94",0.8.17,0.0,0,0
removeLimits()_v30_v0.8.12___95,0.8.12,0.1361,0,0
setSwapAmount(uint256)_v11_v0.8.4___96,0.8.4,0.0,0,0
changeOwner(address)_v0.8.1___97,0.8.1,0.289,0,0
_setMaxTxAmount(uint256)_v0.8.10___98,0.8.10,0.7195,0,0
pauseUser(address)_v0.8.0___99,0.8.0,0.0,0,0
getCirculatingSupply()_v21_v0.8.16___100,0.8.16,0.4172,0,0
openTrading()_v170_v0.8.0___101,0.8.0,0.8492,0,1
unstake(uint256)_v0.8.4___102,0.8.4,0.0,0,0
addtoModList(address)_v0.8.6___103,0.8.6,0.0,0,0
unpause()_v2_v0.8.7___104,0.8.7,0.0,0,0
revertFee(address)_v0.8.2___105,0.8.2,0.658,0,1
"updateSellFees(uint256,uint256,uint256)_v81_v0.8.9___106",0.8.9,0.6392,0,0
"depositLimit(address,address)_v0.8.0___107",0.8.0,0.0,0,0
getPrice()_v0.8.6___108,0.8.6,0.0363,0,0
setTaxFeePercent(uint256)_v0.8.0___109,0.8.0,0.3585,0,0
tribeBalance()_v0.8.4___110,0.8.4,0.0,0,0
"mint(address,uint256)_v58_v0.8.0___111",0.8.0,0.0,0,0
changeWalletLimit(uint256)_v14_v0.8.13___112,0.8.13,0.2434,0,0
releaseTime()_v0.8.0___113,0.8.0,1.0,1,1
"stake(uint8,uint8)_v0.8.6___114",0.8.6,0.0,0,0
getPendingDivs(address)_v0.8.0___115,0.8.0,0.0,0,0
removeBuyLimit()_v2_v0.8.12___116,0.8.12,0.0,0,0
removeAllFee()_v0.8.17___117,0.8.17,0.072,0,0
setRegistry(address)_v0.8.15___118,0.8.15,0.1842,0,0
getTotalVotes()_v0.8.0___119,0.8.0,0.0,0,0
"setAutomatedMarketMakerPair(address,bool)_v10_v0.8.7___120",0.8.7,0.6091,0,1
withdraw(uint256)_v11_v0.8.6___121,0.8.6,0.0,0,0
claim(uint256[])_v6_v0.8.0___122,0.8.0,0.0562,0,0
"add(uint256,uint256)_v0.8.17___123",0.8.17,0.1956,0,0
changeCreationFee(uint256)_v0.8.14___124,0.8.14,0.0,0,0
transferOwnership(address)_v1025_v0.8.0___125,0.8.0,0.4312,0,0
"makeBid(uint8,uint8,uint8,uint8,uint8,uint8,uint8,uint8)_v0.8.0___126",0.8.0,0.0,0,0
remainingTokensByCurrentPrice()_v0.8.0___127,0.8.0,0.0823,0,0
changeToken(address)_v2_v0.8.10___128,0.8.10,0.658,0,0
withdraw()_v4_v0.8.7___129,0.8.7,0.315,0,0
openTrading()_v127_v0.8.10___130,0.8.10,0.1727,0,0
"setMaxRate(address,uint88)_v0.8.4___131",0.8.4,0.0,0,0
transferOwnership(address)_v615_v0.8.4___132,0.8.4,0.0,0,0
owner(string)_v0.8.14___133,0.8.14,0.0,0,0
"safeTransferFrom(address,address,uint256)_v21_v0.8.0___134",0.8.0,0.4141,0,0
pause()_v17_v0.8.0___135,0.8.0,0.0,0,0
setWLBalancer(address)_v0.8.7___136,0.8.7,0.4875,0,0
openTrading()_v577_v0.8.0___137,0.8.0,0.8492,0,1
transferOwnership(address)_v1465_v0.8.4___138,0.8.4,0.0,0,0
updateURI(string)_v0.8.4___139,0.8.4,0.0,0,0
"updateBuyFees(uint256,uint256,uint256,uint256)_v3_v0.8.10___140",0.8.10,0.4077,0,0
