JOB START
Tue Jun 16 14:58:11 +04 2026
cn270
resume: 0 already harvested
remaining: 109679
  [41400/109679] 0.7/s ETA 28.0h
  [41700/109679] 0.7/s ETA 27.8h
  [42000/109679] 0.7/s ETA 27.6h
  [42300/109679] 0.7/s ETA 27.6h
  [42600/109679] 0.7/s ETA 27.5h
  [42900/109679] 0.7/s ETA 27.4h
  [43200/109679] 0.7/s ETA 27.3h
  [43500/109679] 0.7/s ETA 27.2h
  [43800/109679] 0.7/s ETA 27.1h
  [44100/109679] 0.7/s ETA 26.9h
  [44400/109679] 0.7/s ETA 26.6h
  [44700/109679] 0.7/s ETA 26.4h
  [45000/109679] 0.7/s ETA 26.2h
  [45300/109679] 0.7/s ETA 26.1h
  [45600/109679] 0.7/s ETA 25.8h
  [45900/109679] 0.7/s ETA 25.6h
  [46200/109679] 0.7/s ETA 25.3h
  [46500/109679] 0.7/s ETA 25.1h
  [46800/109679] 0.7/s ETA 24.9h
  [47100/109679] 0.7/s ETA 24.9h
  [47400/109679] 0.7/s ETA 24.7h
  [47700/109679] 0.7/s ETA 24.5h
  [48000/109679] 0.7/s ETA 24.2h
  [48300/109679] 0.7/s ETA 24.3h
  [48600/109679] 0.7/s ETA 24.2h
  [48900/109679] 0.7/s ETA 24.3h
  [49200/109679] 0.7/s ETA 24.1h
  [49500/109679] 0.7/s ETA 23.9h
  [49800/109679] 0.7/s ETA 23.7h
  [50100/109679] 0.7/s ETA 23.6h
  [50400/109679] 0.7/s ETA 23.4h
  [50700/109679] 0.7/s ETA 23.1h
  [51000/109679] 0.7/s ETA 22.9h
  [51300/109679] 0.7/s ETA 22.8h
  [51600/109679] 0.7/s ETA 22.7h
  [51900/109679] 0.7/s ETA 22.5h
  [52200/109679] 0.7/s ETA 22.3h
  [52500/109679] 0.7/s ETA 22.1h
  [52800/109679] 0.7/s ETA 21.8h
  [53100/109679] 0.7/s ETA 21.6h
  [53400/109679] 0.7/s ETA 21.4h
  [53700/109679] 0.7/s ETA 21.2h
  [54000/109679] 0.7/s ETA 21.0h
  [54300/109679] 0.7/s ETA 20.8h
  [54600/109679] 0.7/s ETA 20.6h
  [54900/109679] 0.7/s ETA 20.4h
  [55200/109679] 0.7/s ETA 20.2h
  [55500/109679] 0.7/s ETA 20.2h
  [55800/109679] 0.7/s ETA 20.3h
  [56100/109679] 0.7/s ETA 20.4h
  [56400/109679] 0.7/s ETA 20.5h
  [56700/109679] 0.7/s ETA 20.5h
  [57000/109679] 0.7/s ETA 20.5h
  [57300/109679] 0.7/s ETA 20.4h
  [57600/109679] 0.7/s ETA 20.4h
  [57900/109679] 0.7/s ETA 20.2h
  [58200/109679] 0.7/s ETA 20.0h
  [58500/109679] 0.7/s ETA 20.0h
  [58800/109679] 0.7/s ETA 19.9h
  [59100/109679] 0.7/s ETA 19.8h
  [59400/109679] 0.7/s ETA 19.7h
  [59700/109679] 0.7/s ETA 19.5h
  [60000/109679] 0.7/s ETA 19.3h
  [60300/109679] 0.7/s ETA 19.1h
  [60600/109679] 0.7/s ETA 18.9h
  [60900/109679] 0.7/s ETA 18.9h
  [61200/109679] 0.7/s ETA 18.8h
  [61500/109679] 0.7/s ETA 18.6h
  [61800/109679] 0.7/s ETA 18.4h
  [62100/109679] 0.7/s ETA 18.2h
  [62400/109679] 0.7/s ETA 18.1h
  [62700/109679] 0.7/s ETA 17.9h
  [63000/109679] 0.7/s ETA 17.7h
  [63300/109679] 0.7/s ETA 17.6h
